"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Sasaki, Roki",808963,2025,23,"8","34.1",154,129,29,18,4,1,6,24,22,15.6,14.3,".225",".411",".351","0.762",".266",".513",".343",".390",".386",".247","71.4",20.6,15.9,13.2,38.2,31.9,"7.2",4,"90.4","13.6",32.4,10.5,44.8,"80.588860192","94.503791442",20.4,42.8
"Brown, Ben",676962,2025,25,"8","36.1",169,149,44,36,5,0,3,44,16,26,9.5,".295",".389",".373","0.762",".264",".408",".344",".334",".347",".144","71.2",19,16,12.1,36.2,27.4,"7.3",14,"91.6","10.8",41.5,6.6,44.3,"82.2071975","94.925784904",28.9,45.2
"Yamamoto, Yoshinobu",808967,2025,26,"8","45.0",175,160,30,19,7,0,4,53,14,30.3,8,".188",".306",".257","0.563",".216",".312",".255",".268",".283",".096","71.4",22.8,13.7,9.4,30.2,20.8,"7.3",4,"89.4","2.2",28,5.6,40.2,"77.980235","94.564901402",31.7,45.8
"Brown, Hunter",686613,2025,26,"8","48.2",181,167,30,22,6,1,1,58,14,32,7.7,".180",".246",".243","0.489",".224",".338",".225",".277",".284",".114","71.7",24.9,10.3,7.4,25.4,18.2,"7.1",9,"85","11.3",32.1,5.5,27.5,"72.388294182","92.908293303",28.4,45.3
"Sánchez, Cristopher",650911,2025,28,"7","37.1",183,162,36,25,6,0,5,52,17,28.4,9.3,".222",".352",".311","0.663",".220",".326",".301",".289",".310",".106","72.3",27.4,12.9,9,34.7,24.3,"7.6",8,"89.9","4",25.5,4.5,40,"79.445414","94.485179273",31.6,46.5
"Rasmussen, Drew",656876,2025,29,"8","40.0",158,146,32,23,3,0,6,35,10,22.2,6.3,".219",".363",".278","0.641",".263",".407",".287",".318",".319",".144","72.1",30,16.5,13.1,34.4,27.3,"7.1",7,"90.8","8.1",34.2,8.1,43.2,"81.023150364","94.551533455",22.2,49.8
"Cease, Dylan",656302,2025,29,"8","40.1",178,158,40,24,12,0,4,48,17,27,9.6,".253",".405",".328","0.733",".247",".429",".324",".326",".322",".182","71.6",22.9,12.4,8.6,28.7,19.9,"7.5",8,"88.3","16",43.2,10.8,39.6,"77.09822625","93.940925315",30.4,49.6
"Ray, Robbie",592662,2025,33,"8","44.1",181,155,30,19,6,0,5,46,23,25.4,12.7,".194",".329",".294","0.623",".211",".374",".284",".307",".313",".163","71.7",21.6,12.5,9,34.8,25.2,"7.4",3,"92.3","14.4",28.6,9.8,49.1,"83.271281481","95.399352222",28.4,47.7
"deGrom, Jacob",594798,2025,37,"8","43.0",169,158,34,21,6,0,7,46,10,27.2,5.9,".215",".386",".266","0.652",".211",".367",".288",".276",".263",".156","71.4",22.2,11.3,7.6,28.4,19.2,"7.4",8,"87.6","14.1",26.8,8,36.6,"76.086231818","93.573735636",32.9,50.7
"Pivetta, Nick",601713,2025,32,"8","44.1",177,161,33,22,6,1,4,49,14,27.7,7.9,".205",".329",".271","0.600",".236",".435",".270",".319",".300",".199","72.1",23.3,15.5,11,35.7,25.3,"7.3",1,"89.4","20.5",36.3,13.3,41.6,"78.281038571","94.454031441",28.6,48.8
