"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"McLain, Matt",680574,2026,221,23.5,11.3,0.284,0.31,35.2,7.1,35.9,98.218465362,93.238433913,24.8,42.8
"Hicks, Liam",689414,2026,213,8.9,8.9,0.36,0.324,26.9,4.7,33.9,97.611494706,92.849942647,10.5,42.6
"Frelick, Sal",686217,2026,196,10.7,8.7,0.266,0.279,27.0,2.6,26.3,96.541004133,92.280425733,10.8,42.2
"Edwards, Xavier",669364,2026,250,11.6,12.0,0.392,0.355,40.8,6.8,33.5,97.307702979,92.776516117,14.2,39.8
"Turner, Trea",607208,2026,252,21.8,6.7,0.279,0.288,32.8,6.1,40.6,99.366540778,93.871414111,26.7,51.4
"Stewart, Sal",701398,2026,249,19.7,12.4,0.362,0.371,35.7,15.5,40.5,100.885376049,94.77022764,26.4,49.0
"Gonzales, Nick",693304,2026,212,17.0,6.1,0.319,0.333,32.5,1.9,38.8,98.26993075,93.258215786,22.7,54.1
"Gorman, Nolan",669357,2026,205,30.2,10.7,0.28,0.291,36.4,9.1,43.8,100.879684098,94.630460826,36.5,50.3
"Schanuel, Nolan",694384,2026,208,15.9,6.3,0.311,0.311,36.3,3.1,31.9,97.119713125,92.595979308,18.8,46.8
"Alonso, Pete",624413,2026,254,23.2,10.6,0.329,0.363,32.9,12.6,56.3,103.469191548,97.145103413,27.6,45.0
"Karros, Kyle",691720,2026,185,23.8,13.0,0.285,0.323,42.7,6.0,40.2,99.839618793,94.170342155,23.8,41.1
"Contreras, Willson",575929,2026,232,25.0,9.9,0.389,0.399,34.8,14.4,44.0,103.044047429,95.725818129,30.2,47.6
"Carter, Evan",694497,2026,199,22.1,13.1,0.292,0.301,30.2,7.9,38.9,99.196058852,93.719720744,25.4,40.9
"Albies, Ozzie",645277,2026,255,12.2,7.1,0.337,0.3,34.0,4.0,26.1,96.620358713,92.352167313,21.2,55.0
"Guerrero Jr., Vladimir",665489,2026,240,10.4,12.5,0.353,0.365,31.5,7.2,43.6,102.128872418,95.299600939,19.8,48.6
"Freeman, Freddie",518692,2026,239,16.7,12.6,0.366,0.38,36.3,11.9,47.0,101.253247024,94.989055714,23.2,48.9
"García Jr., Luis",671277,2026,183,15.8,3.3,0.308,0.314,31.1,6.9,48.0,102.250976575,95.757600828,19.2,56.5
"Sheets, Gavin",657757,2026,181,21.5,11.0,0.364,0.344,37.5,9.2,45.8,100.510920333,94.577858167,21.2,42.6
"Arenado, Nolan",571448,2026,196,17.9,9.2,0.36,0.339,38.4,6.5,31.9,97.130403188,92.567449638,23.1,44.3
"Langeliers, Shea",669127,2026,241,19.5,8.7,0.394,0.39,36.1,14.8,45.6,103.276228706,95.990893728,26.1,51.1
"Happ, Ian",664023,2026,248,31.5,14.9,0.364,0.348,35.1,16.0,44.3,102.013472424,95.411963664,33.8,43.1
"Martin, Austin",668885,2026,184,15.8,13.0,0.34,0.328,33.6,3.1,31.3,96.562893594,92.367067874,19.0,39.8
